Design,Width,Delay in ns,LUTs,CCs,Power in uW,Delay Reduction in %,Area Reduction in %,Power Reduction in %,,RCA,Delay,Area,Power
Standard RCA,8,5.535,8,3,210.088,0,0,0,,8,5.535,20,210.088
Standard RCA,16,6.07,16,5,453.902,0,0,0,,16,6.07,36,453.902
Standard RCA,32,6.9,32,9,684.372,0,0,0,,32,6.9,68,684.372
Standard RCA,64,8.476,64,17,1770.885,0,0,0,,64,8.476,132,1770.885
RCA with LUTs,8,5.53,8,2,215.293,0.090334237,20,-2.477533224,,,,,
RCA with LUTs,16,5.994,16,4,465.168,1.252059308,11.11111111,-2.482033567,,,,,
RCA with LUTs,32,6.9,32,8,688.431,0,5.882352941,-0.59309849,,,,,
RCA with LUTs,64,8.445,64,16,1776.084,0.365738556,3.03030303,-0.293582023,,,,,
RCA with 2 Output LUTs,8,5.776,8,2,228.006,-4.354110208,20,-8.528806976,,,,,
RCA with 2 Output LUTs,16,6.198,16,4,487.491,-2.108731466,11.11111111,-7.400055519,,,,,
RCA with 2 Output LUTs,32,6.95,32,8,712.196,-0.724637681,5.882352941,-4.065625128,,,,,
RCA with 2 Output LUTs,64,8.298,64,16,1683.26,2.100047192,3.03030303,4.948090926,,,,,
Full KSA,8,6.95,24,0,501.378,-25.56458898,-20,-138.6514223,,,,,
Full KSA,16,7.564,64,0,1312.704,-24.61285008,-77.77777778,-189.2042776,,,,,
Full KSA,32,8.458,160,0,2554.506,-22.57971014,-135.2941176,-273.2627869,,,,,
Full KSA,64,10.402,384,0,5591.665,-22.72298254,-190.9090909,-215.7553991,,,,,
KSA-RCA Combination,8,6.225,11,2,239.791,-12.46612466,5,-14.13836107,,,,,
KSA-RCA Combination,16,7.294,23,4,520.794,-20.16474465,-8.333333333,-14.73710184,,,,,
KSA-RCA Combination,32,8.234,47,8,737.36,-19.33333333,-16.17647059,-7.742572753,,,,,
KSA-RCA Combination,64,10.085,95,16,1679.243,-18.98301085,-20.45454545,5.174926661,,,,,
Signed Digit Unconverted,8,5.4,9,0,147.404,2.43902439,55,29.83702068,,,,,
Signed Digit Unconverted,16,5.245,17,0,291.288,13.59143328,52.77777778,35.825795,,,,,
Signed Digit Unconverted,32,6.9,33,0,904.725,0,51.47058824,-32.19783977,,,,,
Signed Digit Unconverted,64,6.97,65,0,900.021,17.76781501,50.75757576,49.17676755,,,,,
Signed Digit,8,6.159,18,3,376.516,-11.27371274,-50,-79.21823236,,,,,
Signed Digit,16,6.9,34,5,739.901,-13.6738056,-50,-63.00897551,,,,,
Signed Digit,32,7.483,66,9,2121.603,-8.449275362,-50,-210.0072767,,,,,
Signed Digit,64,8.663,130,17,2604.913,-2.206229353,-50,-47.09667765,,,,,
Fast CCA,8,5.53,8,2,214.993,0.090334237,20,-2.33473592,,,,,
Fast CCA,16,6.179,20,5,507.473,-1.795716639,-11.11111111,-11.80232737,,,,,
Fast CCA,32,6.98,44,11,779.373,-1.15942029,-29.41176471,-13.88148551,,,,,
Fast CCA,64,8.087,88,22,1879.066,4.589428976,-33.33333333,-6.108866471,,,,,
Fast CCA 2,8,6.467,13,4,246.992,-16.83830172,-45,-17.56597235,,,,,
Fast CCA 2,16,6.99,26,7,541.004,-15.15650741,-50,-19.1896048,,,,,
Fast CCA 2,32,7.671,52,14,1435.44,-11.17391304,-58.82352941,-109.745577,,,,,
Fast CCA 2,64,9.92,106,27,2033.656,-17.0363379,-62.12121212,-14.83840001,,,,,
